-4828,10430,7300
-4842,10260,8784
-4932,10016,8000
-4690,9430,9926
-4590,10262,12388
-5542,10712,16036
-4584,8732,18116
-4918,9222,15188
-4764,9028,12066
-4882,9972,10970
-4562,9758,7348
-4632,10464,7068
-4540,10700,6638
-4942,10166,12468
-4504,8978,13632
-4772,9308,15482
-5324,10102,17142
-5028,10064,15822
-4982,9436,13698
-4664,9004,8192
-4276,9020,5356
-4464,8996,5822
-4540,8202,13064
-4718,7626,13530
-5294,9686,15898
-5730,8526,19922
-4462,6236,19156
-4012,8274,11232
-4074,7136,8980
-4414,6340,12210
-4272,6998,12220
-3776,7342,11040
-3540,5570,14360
-4874,5554,18248
-5158,5258,19878
-4894,6844,17658
-4896,5962,15488
-4066,5314,15258
-3508,2400,11900
-3924,2924,10634
-3338,5062,8730
-3966,2626,16796
-4480,4852,16784
-3982,5102,19250
-3906,3694,18362
-4040,2476,19154
-4452,3242,19066
-3482,3650,13396
-2908,2960,9008
-3304,654,12672
-3978,666,15998
-3908,4100,12170
-3332,2298,15322
-3376,1082,19060
-3780,850,21954
-3714,2122,20540
-3704,4218,17790
-2962,2258,15142
-2658,1938,11322
-2868,1058,11438
-3532,1406,15224
-3750,1956,14496
-2918,1204,13814
-2924,3326,17106
-3276,3818,19024
-2870,3610,18588
-3162,2188,18944
-3120,2342,19018
-3038,3062,14622
-2858,2176,11922
-3014,1038,12784
-2992,1212,13694
-3096,2610,13106
-2846,2044,15628
-3562,3036,19998
-3012,2594,20588
-2858,2520,16744
-3366,2396,18952
-3512,1960,18194
-2528,2722,12142
-2594,1622,9798
-3064,1384,14408
-3446,1432,14374
-3070,2266,15320
-3680,3190,17044
-3630,1634,19724
-3562,910,20512
-3268,3128,16888
-3508,2458,16392
-3510,1148,15578
-2758,2314,11652
-3412,1558,14386
-3258,1734,13444
-3374,2060,14188
-2816,1334,15372
-3660,3324,19472
-3566,3480,23380
-2752,3316,16616
-2946,1950,15312
-3698,2142,16966
-2580,3182,11810
-3226,1460,14232
-2984,908,14008
-2840,1668,14108
-2604,1890,14622
-3992,4128,19094
-3270,3290,20774
-2804,3544,18026
-2374,2392,13914
-3164,2062,16590
-3494,1440,17176
-2312,3906,10378
-2778,2294,14558
-3100,1596,15932
-2570,2228,13196
-2600,3708,15274
-3610,3976,22084
-2950,2404,19918
-2242,3594,15340
-2860,2698,16182
-3128,2896,15684
-2542,3020,12350
-2634,2456,13356
-2814,1654,15034
-2590,3040,14632
-2910,2624,17544
-3162,2572,19354
-2884,2410,19004
-2764,2828,17014
-2800,2834,16920
-2686,3474,14174
-2932,3404,13830
-3092,2262,14884
-2834,2926,13428
-3022,2772,14790
-2820,3110,14116
-2534,2306,15164
-3050,3204,18720
-3044,2824,19772
-2478,1918,16384
-2818,2554,17364
-3052,2956,16866
-2644,3578,14444
-2588,2918,13780
-2886,2896,14156
-3038,2454,15512
-2532,3316,12812
-2210,1930,14566
-2474,2870,17156
-3630,3698,27160
-2376,2540,15794
-2224,3104,13218
-3154,3468,15924
-2866,1962,15952
-2274,3620,11472
-2522,3690,13168
-2888,2398,16292
-2456,2560,15074
-2646,3734,16536
-2980,3658,20560
-2540,2906,17406
-2480,2326,16970
-2868,3210,16004
-2840,3226,15314
-2434,3212,11770
-2848,2390,15014
-2676,2952,14494
-2362,4036,12418
-2572,1500,16564
-3202,4030,19788
-2946,2610,20246
-1714,4340,14388
-2368,2258,17652
-3116,2280,16626
-2638,3878,13882
-2580,2684,13088
-2534,2520,13716
-2664,3618,14340
-2178,2858,14680
-2790,3696,18690
-2676,2658,20358
-2520,2744,18690
-2186,3254,14886
-2886,3606,15478
-2696,3102,14370
-2330,3378,13220
-2820,3448,15038
-2752,2988,13782
-2364,1456,14866
-2674,3928,17016
-2728,4410,20028
-2384,3786,18386
-2042,3336,15810
-2594,2930,17034
-2902,2410,16458
-2098,4602,10642
-2590,3552,14752
-2568,2586,15316
-2442,3986,14060
-2140,3020,14818
-2898,3316,20052
-2092,2402,19852
-2394,3418,19390
-1950,2904,14374
-2710,3806,15088
-2640,3930,14740
-2266,3760,13580
-2650,3438,14828
-2630,3172,14098
-2432,2586,13492
-2132,1648,15788
-2808,4012,18538
-2508,3964,23458
-1840,3328,16004
-1920,2392,15350
-3090,3308,16874
-2374,5106,11334
-2312,3232,13224
-2354,2528,14496
-2670,3650,15352
-2404,3278,14936
-2174,2564,16282
-2408,3960,19294
-2128,4758,17914
-1934,4326,16824
-2366,3168,16916
-2582,3142,15660
-2446,4646,12624
-2408,3188,12986
-2118,2582,12252
-2632,3484,13544
-2552,4070,15958
-2748,5380,19744
-2158,3810,21712
-2140,4136,16826
-2474,3880,16004
-2812,2340,15466
-2812,4648,11734
-2490,2240,10634
-2240,1664,12838
-2986,3064,17314
-1988,2884,20724
-2842,-6144,22454
-2326,3240,18092
-2978,-1338,15190
-3338,-1314,13718
-3848,-3732,14810
-3620,306,15042
-3140,-2214,15488
-3890,-5410,13722
-3640,-4132,14820
-4474,-3786,18054
